mfcc,melspectrogram
-22.191175,0.3333752
-20.560688,0.25061482
-21.452412,0.33572033
-21.156864,0.33977842
-21.545284,0.17308947
-23.345213,0.24655157
-21.762108,0.2624945
-21.56178,0.11921028
-22.646622,0.16768816
-20.436234,0.72997177
-22.121609,0.42708257
-21.99852,0.5801436
-22.544134,0.26797703
-21.654217,0.2074017
-21.433895,0.3204016
-23.180704,0.19290711
-23.096773,0.3820083
-21.173504,0.3844062
-21.274868,0.43575552
-21.424465,0.476594
-21.492289,0.24395558
-20.262207,0.32984352
-21.51788,0.37730443
-20.582771,0.31130868
-21.712631,0.19432229
-22.71226,0.40246812
-21.437077,0.30870312
-21.912022,0.39999557
-21.181913,0.29675707
-20.38327,0.27268237
-21.688654,0.21214625
-22.110231,0.22093213
-21.235973,0.32937002
-20.662495,0.5100002
-21.849522,0.24057005
-21.498846,0.25696003
-21.471464,0.36363852
-21.256786,0.19847867
-22.790936,0.3043531
-21.394726,0.22022477
-20.399523,0.29820815
-21.443249,0.2828166
-21.519745,0.29970622
-22.651775,0.24280733
-21.374453,0.2617045
-23.76852,0.24584883
-22.681313,0.074354954
-20.060047,0.63877857
-21.999966,0.29034236
-23.103664,0.39270923
-20.25325,0.43508035
-21.906887,0.23003334
-22.176716,0.08434838
-20.638319,0.37539917
-21.312466,0.28000778
-22.69896,0.12838364
-23.060465,0.3339112
-22.889439,0.20024735
-21.73248,0.34986323
-22.557747,0.4306365
-17.341377,0.73208827
-20.770544,0.5050323
-17.449886,0.9835732
-20.221308,0.56480473
-22.364805,0.42297134
-21.123608,0.37806386
-21.167255,0.3128181
-22.713898,0.20842943
-23.10239,0.28611347
-21.434143,0.39645785
-22.236202,0.23394385
-21.38226,0.43573484
-19.493069,0.4069596
-21.803364,0.24986413
-23.640657,0.99301493
-21.125418,0.23348516
-22.416285,0.19072565
-22.27378,0.2937501
-21.486353,0.44782394
-26.25624,0.042975254
-21.279354,0.29339635
-21.944904,0.2701506
-22.439383,0.36300832
-20.797138,0.5232513
-22.727663,0.16878422
-21.484785,0.3650985
-21.95973,0.21649534
-21.705341,0.3064605
-23.685345,0.5228209
-20.671484,0.1864874
-23.076351,0.09337391
-22.830545,0.043985993
-18.437351,0.24926831
-17.98389,0.34308213
-17.609385,0.23705208
-21.804049,0.053585358
-21.868277,0.087721094
-21.944063,0.06747337
-17.662737,0.30068707
-21.16917,0.05316829
-20.96498,0.115244955
-17.735338,0.27662414
-21.22267,0.053594124
-21.663181,0.043158066
-21.793558,0.026179638
-17.174734,0.5163952
-19.339458,0.25816643
-23.337336,0.07843568
-21.747757,0.0777203
-19.921589,0.15977305
-17.450405,0.3782106
-17.467371,0.38216138
-18.653933,0.40810078
-18.296747,0.290528
-21.767317,0.06648572
-22.136711,0.045674987
-22.349846,0.048892517
-22.300564,0.03809686
-17.590977,0.22382371
-22.219402,0.06049387
-17.823421,0.23159534
-18.519375,0.2757035
-22.667593,0.021379037
-18.64423,0.18045385
-22.001692,0.030183043
-19.351948,0.24509883
-18.710524,0.252733
-18.896126,0.32710522
-20.968302,0.060652867
-18.341492,0.25310224
-19.054903,0.28515363
-18.990698,0.3804357
-21.429914,0.05229803
-17.661861,0.35095724
-19.302448,0.3084619
-19.490458,0.19975798
-21.05308,0.080994
-17.85585,0.17703667
-19.23337,0.24335891
-19.887014,0.2500766
-20.027779,0.1113883
-21.537256,0.13549578
-18.643177,0.24062398
-18.58669,0.23861781
-22.030107,0.04933937
-20.410425,0.3288562
-18.135853,0.36586818
-19.095459,0.42286813
-17.895105,0.37780756
-22.753304,0.028341291
-23.490625,0.031570256
-17.879822,0.3346032
-22.44685,0.032170087
-18.430277,0.23167148
-22.511398,0.024596363
-18.520603,0.38537058
-18.316933,0.31856406
-18.46827,0.18992327
-21.104778,0.093092
-22.427488,0.055617914
-17.47586,0.31359023
-17.997398,0.19946575
-22.459177,0.07578763
-18.332355,0.24118713
-22.451605,0.030152783
-19.301374,0.19690323
-23.40038,0.051261984
-19.006008,0.5657116
-19.426641,0.23741212
-23.186321,0.034905344
-22.54961,0.1059266
-17.16711,0.42185062
-19.3046,0.50765854
-21.62592,0.023736054
-17.463484,0.27783272
-22.93544,0.02678436
-18.266264,0.16333611
-22.686842,0.049261607
-18.342678,0.20425513
-21.096836,0.11051453
-16.741531,0.35193148
-22.204647,0.029444851
-17.84527,0.2084092
-18.712826,0.26885122
-22.028284,0.12913992
-17.862528,0.24859035
-18.183895,0.37872386
-18.022526,0.3432661
-18.970045,0.28914952
-18.664398,0.33689865
-21.353947,0.0843941
-22.067076,0.08244735
-24.0815,0.021518879
-17.67487,0.42653584
-17.054888,0.38540912
-22.38084,0.042055864
-18.895294,0.20952141
-22.207146,0.056239154
-22.664581,0.028460665
-18.19574,0.16942875
-20.620447,0.2234872
-22.437914,0.019851469
-18.737087,0.47625232
-18.110615,0.23559847
-19.52382,0.08229932
-18.365692,0.14660098
-21.480234,0.07455423
-20.74217,0.06812367
-18.840878,0.23419939
-18.71238,0.35939682
-19.132217,0.2590899
-17.76669,0.36087424
-18.8285,0.2837404
-17.168041,0.5355176
-21.54919,0.107955314
-22.14504,0.029680494
-21.452183,0.050506793
-22.11359,0.07596614
-21.799625,0.036474098
-21.40534,0.04731221
-16.849113,0.6042603
-22.133541,0.0624519
-22.55055,0.045700386
-18.681477,0.16204101
-20.84174,0.14769049
-19.023098,0.23691548
-21.807188,0.04232589
-17.45588,0.29892355
-17.908592,0.32153752
-17.3642,0.2267229
-21.222881,0.060434546
-21.925396,0.06038562
-17.4222,0.64249235
-21.839441,0.08201096
-19.108242,0.14213464
-17.679113,0.18737036
-17.515774,0.18928874
-19.74517,0.18351297
-17.46939,0.43803555
-22.517143,0.15568632
-18.005863,0.3778457
-21.619783,0.039704047
-21.8513,0.08496292
-21.96932,0.07428253
-21.17991,0.15753834
-22.158115,0.018785736
-19.855425,0.2825922
-22.53422,0.03463875
-21.003246,0.10562411
-17.978552,0.62085503
-21.875729,0.066434145
-21.159817,0.054626673
-19.177063,0.16754392
-21.691746,0.071252
-21.451221,0.08924042
-18.29132,0.45945406
-22.033253,0.04206618
-18.881077,0.21995996
-17.4683,0.3592181
-21.925608,0.05642684
-22.712238,0.0890831
-22.740683,0.029138777
-18.82032,0.3447078
-18.08826,0.27722764
-17.15385,0.29694366
-17.126677,0.43300116
-19.40498,0.19348656
-22.371956,0.050854784
-19.607418,0.14617653
-21.499847,0.066712596
-18.022463,0.31467226
-18.597443,0.27004284
-21.262302,0.07935945
-18.815239,0.17677611
-18.587292,0.2141001
-20.792412,0.08300916
-21.703579,0.04502227
-21.309029,0.09010595
-22.044884,0.03569095
-21.469599,0.07429358
-21.890728,0.07687941
-19.0906,0.3596349
-23.158403,0.023234507
-20.14556,0.102916166
-18.70776,0.2849812
-21.488459,0.03236531
-20.087404,0.39010668
-21.260195,0.08836951
-19.147118,0.18590298
-17.506294,0.41528752
-22.656605,0.047015786
-19.02668,0.23213378
-21.639423,0.076349795
-21.492115,0.09687047
-21.518164,0.075392485
-19.230259,0.1692822
-17.05132,0.4212719
-21.168537,0.07525146
-18.517426,0.29061666
-18.285604,0.24746583
-18.274075,0.14734969
-21.63689,0.038935654
-16.79507,0.36441606
-17.015572,0.28682244
-18.641953,0.21376716
-21.673183,0.062860265
-18.355883,0.30755645
-22.908096,0.030104954
-18.766874,0.36576176
-17.898104,0.46357852
-17.45792,0.14644712
-18.351284,0.53501225
-21.460545,0.10340422
-21.866467,0.055251136
-17.862984,0.24119158
-21.095821,0.08478954
-18.997288,0.36859992
-21.049603,0.07032819
-20.881107,0.0726753
-19.392937,0.3325045
-17.759705,0.29519308
-17.618082,0.2595666
-17.96604,0.15551674
-17.85741,0.3549604
-22.562159,0.098404944
-18.482899,0.3474178
-17.538502,0.3737621
-21.505596,0.06639613
-22.35268,0.034548283
-18.734629,0.26522505
-18.0489,0.26942673
-18.79652,0.25511068
-17.399443,0.38136706
-18.491972,0.23340854
-21.390635,0.058277205
-19.771389,0.3011747
-17.617022,0.21238676
-21.833912,0.081983164
-18.579376,0.32576835
-18.712816,0.30648327
-21.871595,0.05440882
-21.963833,0.11018974
-17.947268,0.16566887
-22.432852,0.022648014
-18.455986,0.2191163
-22.049099,0.08152558
-22.283768,0.05636489
-21.995878,0.071511656
-21.494013,0.078012556
-17.653507,0.27912498
-22.33207,0.042859517
-18.536915,0.22172654
-21.790043,0.08236729
-21.61455,0.1380414
-21.898823,0.034850527
-22.23167,0.08832241
-21.475079,0.041560337
-18.838675,0.25534898
-19.47695,0.09713729
-19.736317,0.3304403
-22.86707,0.029468356
-22.21301,0.10840918
-22.365314,0.039870262
-22.503675,0.03857311
-21.597656,0.070651114
-21.679914,0.040022336
-18.125732,0.31247503
-23.05635,0.030545142
-21.27356,0.053482473
-18.879463,0.22674197
-18.311874,0.29485255
-18.296217,0.65717494
-22.650629,0.048751347
-23.423376,0.028554656
-17.86657,0.1796092
-21.476124,0.05999549
-17.571407,0.54413486
-21.183504,0.04262695
-18.602224,0.2234312
-17.529583,0.46236736
-16.45285,0.34953037
-19.016607,0.18291213
-22.416689,0.022408327
-18.535524,0.29768655
-21.952713,0.06165156
-22.117758,0.04712245
-18.28034,0.30176142
-23.270756,0.052185386
-18.2271,0.434998
-17.918571,0.5587194
-17.221449,0.21069843
-20.208984,0.13081798
-22.814373,0.040025268
-18.368435,0.38834977
-18.121675,0.35351533
-20.124102,0.043061167
-17.40601,0.3558824
-21.157858,0.10469884
-19.347729,0.19597307
-18.736305,0.38705724
-22.199123,0.05213525
-19.049158,0.37222257
-21.880032,0.03315108
-21.605326,0.046745572
-21.820906,0.043562222
-22.22328,0.07756671
-19.763609,0.27189714
-18.477852,0.13746239
-22.405352,0.03625862
-18.13533,0.31574982
-17.217524,0.30640498
-19.220732,0.15616694
-16.484882,0.7620303
-20.873362,0.09841922
-17.988514,0.47782686
-17.089169,0.7114219
-17.511211,0.35431814
-22.244785,0.046388306
-19.572237,0.26806244
-17.438341,0.29043028
-20.882732,0.111007474
-18.531841,0.2175612
-19.977814,0.117265314
-18.365423,0.30135787
-23.144547,0.020391565
-18.40824,0.22063296
-22.162527,0.059189238
-17.517136,0.22549544
-21.688261,0.04703571
-18.682367,0.18218471
-18.004646,0.28032413
-18.139116,0.37676287
-20.295305,0.3120556
-22.133846,0.052804425
-22.089718,0.07736164
-18.732483,0.22184716
-17.598911,0.2591497
-22.102749,0.06609449
-21.731064,0.06744158
-21.725534,0.03138936
-18.131496,0.49344453
-17.902975,0.518121
-18.606577,0.17823103
-18.417828,0.41914946
-19.822857,0.18885037
-17.096287,0.39577097
-18.975758,0.27118438
-18.082373,0.57848966
-17.839342,0.43125558
-18.396248,0.31618673
-17.234331,0.655853
-18.40567,0.3237924
-19.177282,0.20206751
-16.990847,0.83082485
-19.018457,0.18220761
-18.61703,0.42170948
-19.325157,0.17635539
-18.571445,0.28205982
-19.286518,0.19816864
-17.954166,0.22943346
-18.53863,0.1519474
-18.9957,0.28684863
-17.220625,0.20468262
-21.878857,0.08245085
-18.862457,0.19180351
-19.070736,0.33119777
-18.480846,0.30066836
-18.923595,0.18764928
-18.333588,0.48139
-19.725477,0.2651111
-18.234194,0.30307359
-17.61573,0.35851425
-18.947765,0.34292752
-19.525333,0.17720047
-19.645092,0.17627992
-19.263617,0.31842747
-18.485249,0.34325725
-19.759329,0.070393376
-17.906572,0.3373319
-18.732882,0.21585421
-18.591227,0.7855624
-17.569515,1.0201724
-18.350521,0.32867026
-19.830727,0.07183677
-20.376135,0.10289548
-18.858158,0.28457934
-17.628897,0.5231044
-19.192516,0.1145042
-18.017723,0.54970753
-18.982191,0.41092816
